market,bin_s,sym_i,sym_h,p_i,p_h,or_crude,or_mh,ci_lo,ci_hi
binance,5.0,BICOUSDT,XVSUSDT,0.6800925925925926,0.1355324074074074,1.5607266627184395,1.594328094450293,1.4170024412978337,1.8560339014167597
binance,5.0,ETHUSDT,HEMIUSDT,0.9404513888888889,0.6777199074074074,1.393472002919621,1.153323813132049,0.9249520718608443,1.4858307573740566
binance,5.0,ETHUSDT,LINKUSDT,0.9404513888888889,0.7530092592592592,0.9936025985030363,1.0630020988637185,0.9075906860588663,1.2180505476094325
binance,5.0,ETHUSDT,LQTYUSDT,0.9404513888888889,0.03234953703703704,1.1204490522834245,1.0443738470998156,0.7492268509482892,1.7045930360884414
binance,5.0,ETHUSDT,PLUMEUSDT,0.9404513888888889,0.9414930555555555,0.8487005079284439,0.7661064425770308,0.5529628709217961,1.0302864791082273
binance,5.0,ETHUSDT,PYPLBUSDT,0.9404513888888889,0.02326388888888889,1.2830522866278375,1.3602820596917022,0.8771758562187978,2.25654532840754
binance,5.0,ETHUSDT,RSRUSDT,0.9404513888888889,0.06689814814814815,0.8057461100165585,0.886424895858858,0.7656725852937143,1.0152854121589505
binance,5.0,ETHUSDT,SMHBUSDT,0.9404513888888889,0.024016203703703703,0.946061220333065,0.8845548152634766,0.6849145352867497,1.3097682553759513
binance,5.0,ETHUSDT,SOLUSDT,0.9404513888888889,0.8740162037037037,1.1183499580342873,1.0505564305817348,0.8560608984188106,1.2708753829808594
binance,5.0,ETHUSDT,SPCXBUSDT,0.9404513888888889,0.3865162037037037,0.9773256963749324,0.961259079903148,0.8571643970790237,1.066926415197453
binance,5.0,ETHUSDT,SYRUPUSDT,0.9404513888888889,0.14884259259259258,1.107823998522031,0.9942095340694855,0.8216298863425615,1.1839919837600574
binance,5.0,ETHUSDT,TRUMPUSDT,0.9404513888888889,0.1752314814814815,1.0094591068288816,1.0552639133822743,0.8845354588299476,1.2634780247151098
